service,name,navigateFrom,navigateTo,multiplicity
API_RETAILPROMOTION,_RtlPromnLoclStoreGroup,A_RETAILPROMOTIONLOCALSTOREGROUPT_TYPE,A_RTLPROMNLOCALSTOREGROUP_TYPE,1
API_SALESORDER,_Item,SALESORDERITEMPRICINGELMNT_TYPE,SALESORDERITEM_TYPE,1
API_BILLINGDOCUMENTREQUEST,_Item,BILLINGDOCUMENTREQUESTITEMTEXT_TYPE,BILLINGDOCUMENTREQUESTITEM_TYPE,1
API_RETAILPROMOTION,_RetailPromotion,A_RTLPROMNLOCLSTOREGRPSTORE_TYPE,A_RETAILPROMOTION_TYPE,1
API_MEASURINGPOINT,_MeasuringPoint,MSRGPOINTCONDITION_TYPE,MEASURINGPOINTTYPE,1
API_BILLINGDOCUMENTREQUEST,_BillingDocumentRequest,BILLINGDOCUMENTREQUESTTEXT_TYPE,BILLINGDOCUMENTREQUEST_TYPE,1
API_RFM_ASSORTMENT_MODULE,_ExplicitAssortmentModuleVers,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,EXPLICITASSORTMENTMODULEVERSTYPE,1
API_RETAILPROMOTION,_RetailPromotionT,A_RETAILPROMOTION_TYPE,A_RETAILPROMOTIONTEXT_TYPE,*
API_PRAINTERNALMARKETING,_PRAIntMktgRateTransaction,PRAINTERNALMARKETINGRATEHDR_TYPE,PRAINTERNALMARKETINGRATETRANS_TYPE,*
API_RETAILPROMOTION,_RetailPromotion,A_RTLPROMNGLOBALSTOREGROUP_TYPE,A_RETAILPROMOTION_TYPE,1
API_RETAILPROMOTION,_RtlPromnGlobalStoreGroup,A_RETAILPROMOTION_TYPE,A_RTLPROMNGLOBALSTOREGROUP_TYPE,*
API_RFM_ASSORTMENT_MODULE,_Text,EXPLICITASSORTMENTMODULEVERSTYPE,ASSORTMENTMODULEVERSIONTEXTTYPE,*
API_WAREHOUSE_ORDER_TASK_2,_WarehouseOrder,WAREHOUSETASKTYPE,WAREHOUSEORDERTYPE,1
API_SERVICECONTRACT,_ServiceContract,SERVICECONTRACTITEM_TYPE,SERVICECONTRACT_TYPE,1
API_WHSE_INB_DELIVERY_2,_WhseInbDeliveryItemSerialNo,WHSEINBOUNDDELIVERYITEMTYPE,WHSEINBDELIVITEMSERIALNUMBERTYPE,*
API_CNSLDTNMATERIALGROUP,_MaterialGroup,CNSLDTNMATERIALGROUPTEXT_TYPE,CNSLDTNMATERIALGROUP_TYPE,1
API_BILLINGDOCUMENTREQUEST,_ItemPartner,BILLINGDOCUMENTREQUESTITEM_TYPE,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,*
API_WRKCTRPOOLEDCAPACITY,_Header,WORKCENTERCAPACITYSHIFTTYPE,WORKCENTERCAPACITYTYPE,1
API_RETAILPROMOTION,_RtlPromnLoclStoreGroup,A_RTLPROMNLOCLSTOREGRPSTORE_TYPE,A_RTLPROMNLOCALSTOREGROUP_TYPE,1
API_CNSLDTNGROUPSTRUCTURE,_CnsldtnGrpStrucMethAssgmt,CONSOLIDATIONGROUPSTRUCTURE_TYPE,CNSLDTNGRPSTRUCMETHASSGMT_TYPE,*
API_WRKCTRPOOLEDCAPACITY,_Interval,WORKCENTERCAPACITYSHIFTTYPE,WORKCENTERCAPACITYINTERVALTYPE,1
API_WRKCTRPOOLEDCAPACITY,_Shift,WORKCENTERCAPACITYINTERVALTYPE,WORKCENTERCAPACITYSHIFTTYPE,*
API_WHSE_INB_DELIVERY_2,_WhseInbDeliveryHead,WHSEINBOUNDDELIVERYITEMTYPE,WHSEINBOUNDDELIVERYHEADTYPE,1
